"pt_id","line_id","match_step","RouteName","RTENAME"
49,47,"step1_similar_name_1km","WEDGEWORTH","WEDGEWORTH"
50,48,"step1_similar_name_1km","WHITEHALL","WHITEHALL"
51,49,"step1_similar_name_1km","LIBERTY CITY","LIBERTY CITY"
52,50,"step1_similar_name_1km","ESCATAWPA","ESCATAWPA"
53,51,"step1_similar_name_1km","GROVE HILL","GROVE HILL"
54,52,"step1_similar_name_1km","FAIRVIEW","FAIRVIEW"
55,53,"step1_similar_name_1km","ELAMVILLE","ELAMVILLE"
56,54,"step1_similar_name_1km","CHILDERSBURG","CHILDERSBURG"
57,55,"step1_similar_name_1km","YOUNGTOWN","YOUNGTOWN"
58,56,"step1_similar_name_1km","MENTONE","MENTONE"
59,57,"step1_similar_name_1km","CARROLLTON","CARROLLTON"
60,58,"step1_similar_name_1km","HOLT","HOLT"
61,59,"step1_similar_name_1km","ODENVILLE","ODENVILLE"
62,60,"step1_similar_name_1km","BORDEN SPRNG","BORDEN SPRNG"
63,61,"step1_similar_name_1km","ROCK CHAPEL","ROCK CHAPEL"
64,62,"step1_similar_name_1km","NIXBURG","NIXBURG"
65,63,"step1_similar_name_1km","CALEBEE","CALEBEE"
66,64,"step1_similar_name_1km","APPLETON","APPLETON"
67,65,"step1_similar_name_1km","MT. GILEAD","MT. GILEAD"
68,66,"step1_similar_name_1km","MADRID","MADRID"
69,67,"step1_similar_name_1km","GEORGETOWN","GEORGETOWN"
70,68,"step1_similar_name_1km","BON SECOUR","BON SECOUR"
71,69,"step1_similar_name_1km","WHEELER DAM","WHEELER DAM"
72,70,"step1_similar_name_1km","ELKMONT","ELKMONT"
73,71,"step1_similar_name_1km","WOODVILLE","WOODVILLE"
75,72,"step1_similar_name_1km","COURTLAND","COURTLAND"
76,73,"step1_similar_name_1km","BROOKSVILLE","BROOKSVILLE"
77,5,"step1_similar_name_1km","VALHERMOSO SPG 2","VALHRMSA SPG"
78,74,"step1_similar_name_1km","LAKEVIEW","LAKEVIEW"
79,75,"step1_similar_name_1km","CHOCCOLOCCO","CHOCCOLOCCO"
80,76,"step1_similar_name_1km","LATHAM 2","LATHAM II"
81,38,"step1_similar_name_1km","DAUPHIN IS 2","DAUPHIN IS"
82,78,"step1_similar_name_1km","ALABAMA PT 2","ALABAMA PT 2"
83,79,"step1_similar_name_1km","ELBERTA","ELBERTA"
85,80,"step1_similar_name_1km","KYMULGA","KYMULGA"
86,81,"step1_similar_name_1km","Borden Springs 2","BORDEN SPRINGS II"
87,82,"step1_similar_name_1km","NIXBURG 2","NIXBURG 2"
88,83,"step1_similar_name_1km","VINA","VINA"
89,84,"step1_similar_name_1km","CARTER GROVE","CARTER GROVE"
90,85,"step1_similar_name_1km","STEVENSON","STEVENSON"
92,87,"step1_similar_name_1km","JASPER","JASPER"
93,88,"step1_similar_name_1km","ONEONTA","ONEONTA"
94,89,"step1_similar_name_1km","TALLADEGA","TALLADEGA"
97,92,"step1_similar_name_1km","AUTAUGAVILLE","AUTAUGAVILLE"
98,93,"step1_similar_name_1km","SEALE","SEALE"
100,95,"step1_similar_name_1km","CLAIBORNE","CLAIBORNE"
101,96,"step1_similar_name_1km","HELICON","HELICON"
102,97,"step1_similar_name_1km","EUFAULA","EUFAULA"
103,98,"step1_similar_name_1km","ST. ELMO","ST. ELMO"
104,99,"step1_similar_name_1km","BAY MINETTE","BAY MINETTE"
106,100,"step1_similar_name_1km","DRUMMOND","DRUMMOND"
107,101,"step1_similar_name_1km","TRIANA","TRIANA"
110,104,"step1_similar_name_1km","GAINESTOWN FERRY","GAINESTOWN FERRY"
111,105,"step1_similar_name_1km","Chacaloochee Bay","CHACALOOCHEE BAY"
112,70,"step1_similar_name_1km","ELKMONT","ELKMONT"
114,106,"step1_similar_name_1km","EAGLE","EAGLE"
115,107,"step1_similar_name_1km","CIRCLE","CIRCLE"
116,108,"step1_similar_name_1km","CHATANIKA R","CHATANIKA R"
117,109,"step1_similar_name_1km","BIRCH LAKE","BIRCH LAKE"
118,110,"step1_similar_name_1km","LIVENGOOD","LIVENGOOD"
119,111,"step1_similar_name_1km","NEBESNA","NEBESNA"
120,112,"step1_similar_name_1km","SLANA","SLANA"
121,113,"step1_similar_name_1km","TOWER BLUFFS","TOWER BLUFFS"
122,114,"step1_similar_name_1km","CHISTOCHINA","CHISTOCHINA"
123,115,"step1_similar_name_1km","NORTHWAY","NORTHWAY"
124,116,"step1_similar_name_1km","MACLAREN","MACLAREN"
125,117,"step1_similar_name_1km","MONAHAN","MONAHAN"
126,118,"step1_similar_name_1km","CANTWELL","CANTWELL"
127,119,"step1_similar_name_1km","TOKLAT","TOKLAT"
129,121,"step1_similar_name_1km","GOOSE BAY","GOOSE BAY"
130,122,"step1_similar_name_1km","SKILAK LAKE","SKILAK LAKE"
132,123,"step1_similar_name_1km","JUNEAU ALT","JUNEAU ALT"
133,124,"step1_similar_name_1km","JUNEAU","JUNEAU"
134,125,"step1_similar_name_1km","CRAIG","CRAIG"
135,126,"step1_similar_name_1km","KETCHIKAN","KETCHIKAN"
136,127,"step1_similar_name_1km","HAINES","HAINES"
138,128,"step1_similar_name_1km","KALIFONSKY","KALIFONSKY"
139,129,"step1_similar_name_1km","MATANUSKA","MATANUSKA"
140,130,"step1_similar_name_1km","WILLOW","WILLOW"
142,158,"step1_similar_name_1km","CHENA RIVER","CHENA HOT SPRING 2"
143,133,"step1_similar_name_1km","L SALCHA","L SALCHA"
144,134,"step1_similar_name_1km","CHENA HOT SP","CHENA HOT SP"
145,135,"step1_similar_name_1km","CORDOVA","CORDOVA"
146,136,"step1_similar_name_1km","THOMPSON PAS","THOMPSON PAS"
147,137,"step1_similar_name_1km","KENNY LAKE","KENNY LAKE"
148,138,"step1_similar_name_1km","SHEEP MTN","SHEEP MTN"
149,139,"step1_similar_name_1km","SOURDOUGH","SOURDOUGH"
150,140,"step1_similar_name_1km","TONSINA","TONSINA"
151,141,"step1_similar_name_1km","KATMAI N.P.","KATMAI N.P."
152,142,"step1_similar_name_1km","BEAR CREEK","BEAR CREEK"
153,143,"step1_similar_name_1km","ADAK","ADAK"
154,144,"step1_similar_name_1km","CHICKEN","CHICKEN"
155,145,"step1_similar_name_1km","GLENALLEN","GLENALLEN"
156,146,"step1_similar_name_1km","CHULITNA","CHULITNA"
157,147,"step1_similar_name_1km","SAVAGE","SAVAGE"
158,148,"step1_similar_name_1km","MOOSE PASS","MOOSE PASS"
159,149,"step1_similar_name_1km","HATCHER PASS","HATCHER PASS"
160,150,"step1_similar_name_1km","SWAN LAKE RD","SWAN LAKE RD"
161,151,"step1_similar_name_1km","ANCHOR RIVER","ANCHOR RIVER"
162,152,"step1_similar_name_1km","PETERSBURG","PETERSBURG"
163,153,"step1_similar_name_1km","SITKA","SITKA"
164,154,"step1_similar_name_1km","THORNE BAY","THORNE BAY"
165,155,"step1_similar_name_1km","ZIMOVIA STRT","ZIMOVIA STRT"
166,156,"step1_similar_name_1km","YAKUTAT","YAKUTAT"
167,157,"step1_similar_name_1km","CHINIAK","CHINIAK"
169,158,"step1_similar_name_1km","CHENA HOT SPRING 2","CHENA HOT SPRING 2"
170,159,"step1_similar_name_1km","DILLINGHAM","DILLINGHAM"
171,234,"step1_similar_name_1km","COLD BAY","COLD BAY"
172,235,"step1_similar_name_1km","KING SALMON","KING SALMON"
173,162,"step1_similar_name_1km","LAKE LOUISE","LAKE LOUISE"
174,163,"step1_similar_name_1km","SU BRIDGE","SU BRIDGE"
175,164,"step1_similar_name_1km","HOPE","HOPE"
177,166,"step1_similar_name_1km","COHOE","COHOE"
178,167,"step1_similar_name_1km","SELDOVIA","SELDOVIA"
179,168,"step1_similar_name_1km","MITKOF ISLE","MITKOF ISLE"
181,155,"step1_similar_name_1km","ZIMOVIA STRT","ZIMOVIA STRT"
182,131,"step1_similar_name_1km","Kodiak 2","KODIAK"
183,171,"step1_similar_name_1km","NICHOLAI SL","NICHOLAI SL"
184,172,"step1_similar_name_1km","PETERSVILLE","PETERSVILLE"
185,173,"step1_similar_name_1km","SEVEN LAKES","SEVEN LAKES"
186,174,"step1_similar_name_1km","KACHEMAK","KACHEMAK"
187,224,"step1_similar_name_1km","HARLEQUIN L.","HARLEQUIN L"
188,176,"step1_similar_name_1km","DIETRICH CMP","DIETRICH CMP"
189,177,"step1_similar_name_1km","BURMA ROAD","BURMA ROAD"
190,178,"step1_similar_name_1km","CAPE NOME","CAPE NOME"
191,179,"step1_similar_name_1km","CARIBOU MTN.","CARIBOU MTN."
192,180,"step1_similar_name_1km","COLDFOOT","COLDFOOT"
193,181,"step1_similar_name_1km","COUNCIL","COUNCIL"
194,182,"step1_similar_name_1km","DONELLY DOME","DONELLY DOME"
195,183,"step1_similar_name_1km","UNALAKLEET RIVER","UNALAKLEET RIVER"
198,186,"step1_similar_name_1km","HATHER CREEK","HATHER CREEK"
200,188,"step1_similar_name_1km","WHALE PASS","WHALE PASS"
201,189,"step1_similar_name_1km","TANGLE LAKES","TANGLE LAKES"
202,190,"step1_similar_name_1km","KANUTI CANYN","KANUTI CANYN"
203,191,"step1_similar_name_1km","MCGRATH","MCGRATH"
204,192,"step1_similar_name_1km","KOYUKUK RIV.","KOYUKUK RIV."
206,194,"step1_similar_name_1km","MANLEY HT SP","MANLEY HT SP"
207,195,"step1_similar_name_1km","MOOSE CREEK","MOOSE CREEK"
208,196,"step1_similar_name_1km","MT. FAIRPLAY","MT. FAIRPLAY"
209,197,"step1_similar_name_1km","MUD RIVER","MUD RIVER"
210,198,"step1_similar_name_1km","NOME","NOME"
212,200,"step1_similar_name_1km","SALMON LAKE","SALMON LAKE"
213,201,"step1_similar_name_1km","SKAGWAY","SKAGWAY"
214,202,"step1_similar_name_1km","ST. MARY'S","ST. MARY"
215,203,"step1_similar_name_1km","TELLER","TELLER"
216,204,"step1_similar_name_1km","MURPHY DOME","MURPHY DOME"
217,205,"step1_similar_name_1km","ZAREMBO","ZAREMBO"
218,206,"step1_similar_name_1km","PORCUPINE R.","PORCUPINE R."
219,207,"step1_similar_name_1km","DELTA","DELTA"
221,209,"step1_similar_name_1km","ANVIK RIVER","ANVIK RIVER"
222,210,"step1_similar_name_1km","TOGIAK RIVER","TOGIAK RIVER"
224,212,"step1_similar_name_1km","GWEEK RIVER","GWEEK RIVER"
225,213,"step1_similar_name_1km","TUPUKNUK","TUPUKNUK"
226,214,"step1_similar_name_1km","RED DOG","RED DOG"
229,217,"step1_similar_name_1km","KANEKTOK RIV","KANEKTOK RIV"
230,218,"step1_similar_name_1km","KOTZEBUE","KOTZEBUE"
231,219,"step1_similar_name_1km","Kanuti Lake","KANUTI LAKE"
232,220,"step1_similar_name_1km","GOODNEWS BAY","GOODNEWS BAY"
233,221,"step1_similar_name_1km","KOBUK RIVER (Short)","KOBUK RIVER"
234,222,"step1_similar_name_1km","PINOCHE TRAL (Short)","PINOCHE TRAL"
235,223,"step1_similar_name_1km","KENAI LAKE (Short)","KENAI LAKE"
237,224,"step1_similar_name_1km","HARLEQUIN L (Short)","HARLEQUIN L"
238,153,"step1_similar_name_1km","SITKA (Short)","SITKA"
241,226,"step1_similar_name_1km","ALPENGLOW (Short)","ALPENGLOW"
242,227,"step1_similar_name_1km","COPPER RIVER","COPPER RIVER"
244,229,"step1_similar_name_1km","DILLINGHAM (Short)","DILLINGHAM"
246,231,"step1_similar_name_1km","SELAWIK (Short)","SELAWIK"
247,232,"step1_similar_name_1km","GALENA (Short)","GALENA"
248,218,"step1_similar_name_1km","KOTZEBUE (Short)","KOTZEBUE"
249,234,"step1_similar_name_1km","COLD BAY (Short)","COLD BAY"
250,235,"step1_similar_name_1km","KING SALMON (Short)","KING SALMON"
251,236,"step1_similar_name_1km","PAXSON LAKE","PAXSON LAKE"
252,237,"step1_similar_name_1km","NABESNA ROAD","NABESNA ROAD"
254,239,"step1_similar_name_1km","MCCARTHY RD2","MCCARTHY RD2"
255,240,"step1_similar_name_1km","STIKINE RIVER","STIKINE RIVER"
256,241,"step1_similar_name_1km","KUIU ISLAND","KUIU ISLAND"
475,242,"step1_similar_name_1km","MT TRUMBULL","MT TRUMBULL"
476,243,"step1_similar_name_1km","HOUSE ROCK","HOUSE ROCK"
477,244,"step1_similar_name_1km","THE GAP","THE GAP"
478,245,"step1_similar_name_1km","BLACK MESA","BLACK MESA"
479,246,"step1_similar_name_1km","ROUND ROCK","ROUND ROCK"
480,247,"step1_similar_name_1km","SQUAW PEAK","SQUAW PEAK"
481,248,"step1_similar_name_1km","YAMPAI","YAMPAI"
482,249,"step1_similar_name_1km","ROSE WELLS","ROSE WELLS"
483,250,"step1_similar_name_1km","FLAGSTAFF","FLAGSTAFF"
484,251,"step1_similar_name_1km","ORAIBI","ORAIBI"
485,252,"step1_similar_name_1km","SAWMILL","SAWMILL"
486,253,"step1_similar_name_1km","OATMAN","OATMAN"
487,254,"step1_similar_name_1km","WIKIEUP","WIKIEUP"
488,255,"step1_similar_name_1km","PRESCOTT","PRESCOTT"
489,256,"step1_similar_name_1km","MORMON LAKE","MORMON LAKE"
490,257,"step1_similar_name_1km","ZENIFF","ZENIFF"
491,258,"step1_similar_name_1km","HUNT","HUNT"
492,259,"step1_similar_name_1km","QUARTZSITE","QUARTZSITE"
493,260,"step1_similar_name_1km","VICKSBURG","VICKSBURG"
494,261,"step1_similar_name_1km","NEW RIVER","NEW RIVER"
495,262,"step1_similar_name_1km","FLORENCE","FLORENCE"
496,263,"step1_similar_name_1km","AZTEC PEAK","AZTEC PEAK"
497,264,"step1_similar_name_1km","BLUE","BLUE"
498,265,"step1_similar_name_1km","LAGUNA","LAGUNA"
499,266,"step1_similar_name_1km","DATELAND","DATELAND"
500,267,"step1_similar_name_1km","AJO","AJO"
501,268,"step1_similar_name_1km","COOLIDGE","COOLIDGE"
502,269,"step1_similar_name_1km","POMERENE","POMERENE"
503,270,"step1_similar_name_1km","SAN SIMON","SAN SIMON"
504,271,"step1_similar_name_1km","LUKEVILLE","LUKEVILLE"
505,272,"step1_similar_name_1km","PEÑA BLANCA","PENA BLANCA"
506,273,"step1_similar_name_1km","PATAGONIA","PATAGONIA"
507,274,"step1_similar_name_1km","SUNIZONA","SUNIZONA"
508,275,"step1_similar_name_1km","TOROWEAP","TOROWEAP"
509,276,"step1_similar_name_1km","DRY PARK","DRY PARK"
510,277,"step1_similar_name_1km","PAGE","PAGE"
511,278,"step1_similar_name_1km","COW SPRINGS","COW SPRINGS"
512,279,"step1_similar_name_1km","MANY FARMS","MANY FARMS"
513,280,"step1_similar_name_1km","RIVIERA","RIVIERA"
514,281,"step1_similar_name_1km","ANTARES","ANTARES"
515,282,"step1_similar_name_1km","WILLIAMS","WILLIAMS"
516,283,"step1_similar_name_1km","MAINE","MAINE"
517,284,"step1_similar_name_1km","CASTLE BUTTE","CASTLE BUTTE"
518,285,"step1_similar_name_1km","GREASEWOOD","GREASEWOOD"
519,286,"step1_similar_name_1km","ALAMO RES.","ALAMO RES."
520,287,"step1_similar_name_1km","SKULL VALLEY","SKULL VALLEY"
521,288,"step1_similar_name_1km","TONTO VILL.","TONTO VILL."
522,289,"step1_similar_name_1km","FOREST LAKES","FOREST LAKES"
523,290,"step1_similar_name_1km","PINETOP","PINETOP"
524,291,"step1_similar_name_1km","CIBOLA LAKE","CIBOLA LAKE"
525,292,"step1_similar_name_1km","GILA BEND","GILA BEND"
526,293,"step1_similar_name_1km","PALO VERDE","PALO VERDE"
527,294,"step1_similar_name_1km","BARTLETT RES","BARTLETT RES"
528,295,"step1_similar_name_1km","CUTTER","CUTTER"
529,296,"step1_similar_name_1km","ALPINE","ALPINE"
530,297,"step1_similar_name_1km","ARABY","ARABY"
531,298,"step1_similar_name_1km","PISINIMO","PISINIMO"
532,299,"step1_similar_name_1km","RED ROCK","RED ROCK"
533,300,"step1_similar_name_1km","REDINGTON","REDINGTON"
534,301,"step1_similar_name_1km","MT. GRAHAM","MT. GRAHAM"
535,302,"step1_similar_name_1km","CABEZA PRIET","CABEZA PRIET"
536,303,"step1_similar_name_1km","AMADO","AMADO"
537,304,"step1_similar_name_1km","SAHUARITA","SAHUARITA"
538,305,"step1_similar_name_1km","MCNEAL","MCNEAL"
540,306,"step1_similar_name_1km","NAVAJO TRAIL","NAVAJO TRAIL"
541,307,"step1_similar_name_1km","KAIBITO","KAIBITO"
542,308,"step1_similar_name_1km","TSAILE","TSAILE"
543,309,"step1_similar_name_1km","WILLOW BEACH","WILLOW BEACH"
544,310,"step1_similar_name_1km","PEACH SPRING","PEACH SPRING"
545,311,"step1_similar_name_1km","SELIGMAN","SELIGMAN"
546,312,"step1_similar_name_1km","HAPPY JACK","HAPPY JACK"
547,313,"step1_similar_name_1km","CLAY SPRING","CLAY SPRING"
548,314,"step1_similar_name_1km","HOPE","HOPE"
549,315,"step1_similar_name_1km","CASA GRANDE","CASA GRANDE"
550,316,"step1_similar_name_1km","CARR MTN","CARR MTN"
551,317,"step1_similar_name_1km","SPRUCEDALE","SPRUCEDALE"
552,318,"step1_similar_name_1km","Ajo 2","AJO 2"
553,319,"step1_similar_name_1km","CACTUS FOREST","CATUS FOREST"
554,320,"step1_similar_name_1km","ORGAN PIPE","ORGAN PIPE"
555,321,"step1_similar_name_1km","PORTAL","PORTAL"
556,322,"step1_similar_name_1km","KLAGETOH","KLAGETOH"
558,293,"step1_similar_name_1km","PALO VERDE 2","PALO VERDE"
560,323,"step1_similar_name_1km","BATES WELL","BATES WELL"
561,299,"step1_similar_name_1km","RED ROCK 2","RED ROCK"
562,324,"step1_similar_name_1km","WILLOW BEACH 2","WILLOW BEACH 2"
565,325,"step1_similar_name_1km","DRAGOON","DRAGOON"
566,326,"step1_similar_name_1km","RUCKER","RUCKER"
567,327,"step1_similar_name_1km","OLD MILO","OLD MILO"
568,328,"step1_similar_name_1km","EUDORA","EUDORA"
570,330,"step1_similar_name_1km","LOCUST BAYOU","LOCUST BAYOU"
571,331,"step1_similar_name_1km","STAMPS","STAMPS"
572,332,"step1_similar_name_1km","HOPE","HOPE"
573,333,"step1_similar_name_1km","ASHDOWN","ASHDOWN"
574,334,"step1_similar_name_1km","HUGHES","HUGHES"
575,335,"step1_similar_name_1km","WEST TYLER","WEST TYLER"
576,336,"step1_similar_name_1km","SOUTH BEND","SOUTH BEND"
578,338,"step1_similar_name_1km","POYEN","POYEN"
579,339,"step1_similar_name_1km","HOLLYWOOD","HOLLYWOOD"
580,340,"step1_similar_name_1km","BLAKELY","BLAKELY"
581,341,"step1_similar_name_1km","WALDRON","WALDRON"
582,342,"step1_similar_name_1km","HARRISBURG","HARRISBURG"
583,343,"step1_similar_name_1km","WHITTON","WHITTON"
584,344,"step1_similar_name_1km","AUGUSTA","AUGUSTA"
585,345,"step1_similar_name_1km","SAFFELL","SAFFELL"
586,346,"step1_similar_name_1km","RUPERT","RUPERT"
587,347,"step1_similar_name_1km","STARK","STARK"
588,348,"step1_similar_name_1km","COAL HILL","COAL HILL"
589,349,"step1_similar_name_1km","LURTON","LURTON"
590,350,"step1_similar_name_1km","MASSARD","MASSARD"
591,351,"step1_similar_name_1km","MAYNARD","MAYNARD"
592,352,"step1_similar_name_1km","ZION","ZION"
593,353,"step1_similar_name_1km","FULTON","FULTON"
594,354,"step1_similar_name_1km","COMPTON","COMPTON"
595,355,"step1_similar_name_1km","AVOCA","AVOCA"
596,356,"step1_similar_name_1km","Centerton","CENTERTON"
597,357,"step1_similar_name_1km","Farwell","FARWELL"
598,358,"step1_similar_name_1km","Yellville","YELLVILLE"
599,359,"step1_similar_name_1km","Ravenden Springs","RAVENDEN SPRINGS"
600,360,"step1_similar_name_1km","Lafe","LAFE"
601,361,"step1_similar_name_1km","Dell","DELL"
602,362,"step1_similar_name_1km","Hickory Ridge","HICKORY RIDGE"
603,363,"step1_similar_name_1km","Russell","RUSSELL"
604,364,"step1_similar_name_1km","Marshall","MARSHALL"
605,365,"step1_similar_name_1km","Havana","HAVANA"
606,366,"step1_similar_name_1km","Hatfield","HATFIELD"
607,367,"step1_similar_name_1km","Sims","SIMS"
608,368,"step1_similar_name_1km","England","ENGLAND"
609,369,"step1_similar_name_1km","Gillett","GILLETT"
610,370,"step1_similar_name_1km","Lockesburg","LOCKESBURG"
611,371,"step1_similar_name_1km","Springhill","SPRINGHILL"
612,372,"step1_similar_name_1km","Stephens","STEPHENS"
613,373,"step1_similar_name_1km","Kelso","KELSO"
614,374,"step1_similar_name_1km","Rudy","RUDY"
615,375,"step1_similar_name_1km","EUDORA 2","EUDORA 2"
616,376,"step1_similar_name_1km","PRINCETON","PRINCETON"
617,377,"step1_similar_name_1km","ULM","ULM"
618,378,"step1_similar_name_1km","NANCE","NANCE"
619,379,"step1_similar_name_1km","Poyen 2","POYEN 2"
620,380,"step1_similar_name_1km","DRY FORK","DRY FORK"
621,381,"step1_similar_name_1km","WILSON","WILSON"
622,382,"step1_similar_name_1km","AUGUSTA 2","AUGUSTA 2"
623,366,"step1_similar_name_1km","Hatfield 2","HATFIELD"
624,376,"step1_similar_name_1km","Princeton 2","PRINCETON"
626,383,"step1_similar_name_1km","OZARK NF","OZARK NF"
627,384,"step1_similar_name_1km","MAGAZINE MTN","MAGAZINE MTN"
628,385,"step1_similar_name_1km","BOSTON MTN.","BOSTON MTN."
629,386,"step1_similar_name_1km","FOUR LAKES","FOUR LAKES"
820,387,"step1_similar_name_1km","HORSE CREEK","HORSE CREEK"
821,388,"step1_similar_name_1km","CARRVILLE","CARRVILLE"
822,389,"step1_similar_name_1km","NUBIEBER","NUBIEBER"
823,390,"step1_similar_name_1km","CRESCENT CTY","CRESCENT CTY"
824,391,"step1_similar_name_1km","HONEYDEW","HONEYDEW"
825,392,"step1_similar_name_1km","HOLMES","HOLMES"
826,393,"step1_similar_name_1km","RED BLUFF","RED BLUFF"
827,394,"step1_similar_name_1km","LASSEN PARK","LASSEN PARK"
828,395,"step1_similar_name_1km","EAGLE LAKE","EAGLE LAKE"
829,396,"step1_similar_name_1km","CALPELLA","CALPELLA"
830,397,"step1_similar_name_1km","HULLVILLE","HULLVILLE"
831,398,"step1_similar_name_1km","PENNINGTON","PENNINGTON"
832,399,"step1_similar_name_1km","WESTVILLE","WESTVILLE"
833,400,"step1_similar_name_1km","FISH ROCK","FISH ROCK"
834,401,"step1_similar_name_1km","RUMSEY","RUMSEY"
836,403,"step1_similar_name_1km","COTTAGE SPGS","COTTAGE SPGS"
837,404,"step1_similar_name_1km","DARDANELLE","DARDANELLE"
838,405,"step1_similar_name_1km","COLMA","COLMA"
839,406,"step1_similar_name_1km","COLLEGEVILLE","COLLEGEVILLE"
840,407,"step1_similar_name_1km","HUGHSON","HUGHSON"
841,408,"step1_similar_name_1km","BASS LAKE","BASS LAKE"
842,409,"step1_similar_name_1km","BIG PINE","BIG PINE"
843,410,"step1_similar_name_1km","CARUTHERS","CARUTHERS"
844,411,"step1_similar_name_1km","TRES PINOS","TRES PINOS"
845,412,"step1_similar_name_1km","OILFIELDS","OILFIELDS"
846,413,"step1_similar_name_1km","GRAVESBORO","GRAVESBORO"
847,414,"step1_similar_name_1km","YOKOHL VAL","YOKOHL VAL"
848,415,"step1_similar_name_1km","UBEHEBE","UBEHEBE"
849,416,"step1_similar_name_1km","HAIWEE RES","HAIWEE RES"
850,417,"step1_similar_name_1km","WILDROSE","WILDROSE"
851,418,"step1_similar_name_1km","PARKFIELD","PARKFIELD"
852,419,"step1_similar_name_1km","BAKERSFIELD","BAKERSFIELD"
853,420,"step1_similar_name_1km","ONYX","ONYX"
854,421,"step1_similar_name_1km","CALIF CITY","CALIF CITY"
855,422,"step1_similar_name_1km","GOLDSTONE","GOLDSTONE"
856,423,"step1_similar_name_1km","VALLEY WELLS","VALLEY WELLS"
857,424,"step1_similar_name_1km","SANTA YNEZ","SANTA YNEZ"
858,425,"step1_similar_name_1km","FOSTER PARK","FOSTER PARK"
859,426,"step1_similar_name_1km","WILLOW SPGS","WILLOW SPGS"
860,427,"step1_similar_name_1km","BARSTOW","BARSTOW"
861,428,"step1_similar_name_1km","MT PINOS","MT PINOS"
862,429,"step1_similar_name_1km","CADIZ","CADIZ"
863,430,"step1_similar_name_1km","PARKER DAM","PARKER DAM"
864,431,"step1_similar_name_1km","HARBOR LAKE","HARBOR LAKE"
865,432,"step1_similar_name_1km","MORENO","MORENO"
866,433,"step1_similar_name_1km","OAK GROVE","OAK GROVE"
867,434,"step1_similar_name_1km","GLAMIS","GLAMIS"
868,435,"step1_similar_name_1km","PALO VERDE","PALO VERDE"
869,436,"step1_similar_name_1km","SAN YSIDRO","SAN YSIDRO"
870,437,"step1_similar_name_1km","ANZA BORREGO","ANZA BORREGO"
871,438,"step1_similar_name_1km","HOLLISTER","HOLLISTER"
872,439,"step1_similar_name_1km","COALINGA","COALINGA"
